tmdb_id,title,release_date,revenue,popularity,vote_average,genre_ids,is_lgbt
52161,Kutsal Damacana 2: İtmen,2010-02-22,5073304,0.1816,2.798,"[35, 27, 14]",0
56034,Twigson Ties the Knot,2010-01-04,5070457,0.428,5.222,"[10751, 35]",0
36085,The Crocodiles Strike Back,2010-01-21,5050298,1.0441,6.9,"[10751, 12]",0
674872,Jackie,2010-10-14,5021794,3.0308,0.0,"[35, 28]",0
270691,Armor Hero Emperor,2010-01-23,5000000,0.3802,7.7,"[28, 12, 14, 878]",0
49679,Action Replayy,2010-11-05,5000000,5.0106,5.228,"[35, 10749, 878]",0
44613,Lafangey Parindey,2010-08-20,5000000,0.5165,5.9,"[28, 18, 10749]",0
33215,Tenure,2010-02-19,5000000,0.5269,5.562,[35],0
44129,The Company Men,2010-10-21,4882577,1.5881,6.53,[18],0
51423,Beyond,2010-12-10,4800080,0.3668,6.44,[18],0
50204,Burke & Hare,2010-10-29,4791599,1.8123,6.075,"[35, 53, 36, 27]",0
39452,Exit Through the Gift Shop,2010-03-05,4790751,1.9902,7.537,[99],0
62972,Alzheimer's,2010-10-09,4776000,0.309,6.294,"[35, 18]",0
44897,Weddings and Other Disasters,2010-04-23,4769415,0.2695,5.257,"[35, 10749]",0
141289,Pokkiri Raja,2010-05-07,4700000,0.6799,5.3,[28],0
53840,Sharm El Sheikh: Un'estate indimenticabile,2010-09-17,4427419,0.3786,4.97,[35],0
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,1341511219,16.8663,8.081,"[12, 14]",0
38356,Transformers: Dark of the Moon,2011-06-28,1123794079,2.8041,6.222,"[28, 878, 12]",0
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-15,1046721266,16.4687,6.565,"[12, 28, 14]",0
50619,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,712171856,9.3881,6.193,"[12, 14, 10749]",0
56292,Mission: Impossible - Ghost Protocol,2011-12-07,694713380,9.3413,7.108,"[28, 53, 12]",0
49444,Kung Fu Panda 2,2011-05-25,665692281,11.5804,7.058,"[16, 10751, 35]",0
51497,Fast Five,2011-04-20,626100000,1.376,7.24,"[28, 53, 80]",0
45243,The Hangover Part II,2011-05-25,586764305,7.1869,6.5,[35],0
